ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de expiración de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición
3061,simple,INFLA-01,"INFLALLANTA HEMBRA 1/4 NPT",1,0,visible,,UNIDAD,,,taxable,,1,2888,0,0,,,,,1,,,"651277,4","Miscelaneos > Mangueras y Accesorios, Miscelaneos",,,,,,,,,,,,0
3062,simple,INFLA-04,"INFLALLANTA EXTRALARGO MACHO 3/8",1,0,visible,,UNIDAD,,,taxable,,1,4421,0,0,,,,,1,,,"1162731,15","Miscelaneos > Mangueras y Accesorios, Miscelaneos",,,,,,,,,,,,0
3063,simple,INFLA-05,"INFLALLANTA EXTRALARGO HEMBRA 1/4 MANGO GOMA",1,0,visible,,UNIDAD,,,taxable,,1,2256,0,0,,,,,1,,,"906685,55","Miscelaneos > Mangueras y Accesorios, Miscelaneos",,,,,,,,,,,,0
3064,simple,INFLA-06,"INFLALLANTA IMPORTADO HEMBRA-MACHO ESPIGA 1/4",1,0,visible,,UNIDAD,,,taxable,,0,0,0,0,,,,,1,,,"601731,37","Miscelaneos > Mangueras y Accesorios, Miscelaneos",,,,,,,,,,,,0
